Country,Predicted_Gold,Predicted_Gold_Lower,Predicted_Gold_Upper,Predicted_Total,Predicted_Total_Lower,Predicted_Total_Upper
Puerto Rico,0.598473532,0.15518341,1.041763654,2.176318617,1.598696916,2.753940318
Malaysia,-0.253833706,-0.685575762,0.177908351,2.955906672,1.535907061,4.375906284
Kosovo,-0.057031055,-0.31654193,0.20247982,2.119501082,1.436841377,2.802160788
Cyprus,0.061575589,-0.226853983,0.35000516,1.055045775,0.678844069,1.43124748
Zambia,0.032310372,-0.314923779,0.379544523,1.145813764,0.662778957,1.62884857
Panama,0.00775358,-0.253774801,0.269281961,1.11024459,0.789912193,1.430576988
Peru,0.048502084,-0.217229296,0.314233464,1.019573814,0.653467572,1.385680056
Fiji,-0.10970503,-0.492136622,0.272726563,0.820874405,0.311880873,1.329867936
Singapore,0.251980914,-0.116607514,0.620569342,1.130219977,0.632628259,1.627811695
Ivory Coast,0.125210565,-0.127728436,0.378149565,1.107667937,0.739152368,1.476183505
Jordan,0.007490138,-0.214412394,0.229392669,1.13790177,0.736744377,1.539059164
Qatar,0.584481651,0.221333966,0.947629337,1.864074514,1.431671715,2.296477313
Mongolia,-0.075633633,-0.447379005,0.296111739,1.832623565,0.659333354,3.005913777
Slovakia,0.512571569,-0.202364092,1.227507231,2.235201489,0.440326349,4.030076628
Samoa,-0.075937201,-0.327855019,0.175980616,0.681577327,0.221022638,1.142132015
Andorra,-0.089316959,-0.55172165,0.373087732,-0.251244637,-1.014384825,0.511895551
Angola,0.312848769,-0.491883391,1.117580929,0.716685501,-0.95569553,2.389066532
Antigua and Barbuda,0.006510196,-0.321680103,0.334700496,0.142996646,-0.582095261,0.868088553
Aruba,0.291648895,-0.618701548,1.201999338,0.491320134,-0.929810406,1.912450674
American Samoa,-0.076292483,-0.305319799,0.152734833,-0.112681183,-0.622420329,0.397057963
Bangladesh,0.124821877,-0.248463164,0.498106918,0.32893763,-0.320151914,0.978027175
Benin,-0.018532399,-0.282268755,0.245203956,0.016811818,-0.419917575,0.453541211
Bhutan,0.010833274,-0.239434902,0.26110145,-0.005947895,-0.484598438,0.472702648
Bosnia and Herzegovina,0.351782491,-0.312516997,1.01608198,0.540881138,-0.376456758,1.458219033
Belize,-0.110572663,-0.326074881,0.104929555,-0.265741052,-0.62150188,0.090019776
Bolivia,-0.025542725,-0.241147035,0.190061584,0.08414085,-0.271322079,0.439603779
Brunei,-0.081058945,-0.246012648,0.083894759,-0.101537454,-0.414586355,0.211511448
Central African Republic,-0.098736428,-0.324044811,0.126571955,-0.251734138,-0.74077342,0.237305144
Cambodia,-0.06800494,-0.628975449,0.492965569,-0.07785415,-0.760564121,0.604855821
Cayman Islands,0.490551242,-0.338010952,1.319113436,0.564631158,-0.72236923,1.851631546
Republic of the Congo,-0.026182567,-0.380470674,0.32810554,-0.158020768,-0.995874816,0.67983328
Chad,0.088670526,-0.407775183,0.585116236,-0.346817,-1.321664373,0.628030372
Democratic Republic of the Congo,0.175415557,-0.253308803,0.604139917,0.354042891,-0.388616937,1.096702719
Cook Islands,0.00441323,-0.414249649,0.423076108,-0.092369096,-0.823710493,0.6389723
Comoros,0.032329102,-0.459835739,0.524493944,-0.069293716,-0.756620237,0.618032804
El Salvador,0.125831727,-0.334694579,0.586358033,0.155497425,-0.762480341,1.073475191
Federated States of Micronesia,-0.178257534,-0.432934141,0.076419073,-0.38352477,-1.005157551,0.238108011
The Gambia,0.249540299,-0.354137055,0.853217653,0.282667413,-1.125990463,1.69132529
Guinea-Bissau,0.033058985,-0.336059177,0.402177148,0.184970903,-0.42262608,0.792567885
Equatorial Guinea,-0.125846871,-0.383728934,0.132035193,-0.269947196,-0.983819971,0.443925578
Guinea,0.058727233,-0.295990054,0.413444519,0.137579502,-0.590879831,0.866038834
Guam,0.327904954,-0.295652743,0.951462651,0.402449051,-0.868222384,1.673120486
Honduras,-0.120085723,-0.401817352,0.161645907,0.260501375,-0.347978095,0.868980844
British Virgin Islands,0.161056697,-0.272651028,0.594764423,0.397507873,-0.523405051,1.318420797
Kiribati,0.004677651,-0.227930661,0.237285964,-0.000383622,-0.531699976,0.530932733
Laos,0.049718742,-0.501717327,0.601154811,0.014891374,-1.018082839,1.047865587
Libya,0.162284368,-0.175428584,0.499997321,0.765639303,0.01518156,1.516097045
Liberia,0.19956176,-0.332587126,0.731710646,0.892120166,-1.082573084,2.866813416
Lesotho,-0.001778988,-0.239899009,0.236341034,0.033190539,-0.615291013,0.68167209
Liechtenstein,-0.147016454,-0.421327061,0.127294152,-0.451603309,-1.154632281,0.251425664
Madagascar,0.150109094,-0.246110131,0.546328319,0.447982772,-0.345675855,1.2416414
Malawi,-0.065791102,-0.201682135,0.070099931,-0.157360639,-0.481088519,0.166367241
Maldives,-0.040522405,-0.286996771,0.20595196,0.163609928,-0.357819293,0.685039148
Marshall Islands,0.03844985,-0.161383653,0.238283353,0.047267414,-0.394258948,0.488793777
Mali,0.062341385,-0.205461854,0.330144624,0.337233083,-0.251407278,0.925873444
Malta,0.009035123,-0.176015035,0.19408528,0.003759314,-0.32302974,0.330548369
Mauritania,-0.043263601,-0.212193146,0.125665944,-0.180260048,-0.497206792,0.136686697
Myanmar,-0.077174295,-0.242797173,0.088448583,-0.132813778,-0.512649082,0.247021527
Nicaragua,-0.004594632,-0.392023578,0.382834314,0.036047686,-0.640187121,0.712282493
Nepal,0.010734229,-0.256470802,0.277939259,0.145066066,-0.384037562,0.674169694
Nauru,-0.081855701,-0.247083744,0.083372343,-0.38001042,-0.817129415,0.057108574
Oman,0.043830305,-0.163331252,0.250991861,0.120684604,-0.236452586,0.477821794
Palestine,0.084013205,-0.167872588,0.335898997,0.174276053,-0.267778199,0.616330306
Palau,-0.071814992,-0.222944804,0.07931482,-0.319919385,-0.647831541,0.007992771
Papua New Guinea,0.041412581,-0.310892889,0.393718051,0.366535769,-0.495844272,1.228915809
Rwanda,0.238047053,-0.315050167,0.791144272,0.614698894,-0.531944589,1.761342378
Seychelles,-0.096232692,-0.268878175,0.076412791,-0.353008945,-0.735485062,0.029467172
Saint Kitts and Nevis,0.017915515,-0.194926535,0.230757565,0.21061539,-0.229429475,0.650660254
Sierra Leone,-0.024002967,-0.221124638,0.173118704,-0.078825803,-0.447543419,0.289891813
Solomon Islands,-0.057945444,-0.245060926,0.129170037,0.013432699,-0.280315147,0.307180545
Somalia,-0.072131056,-0.275842925,0.131580812,-0.123739125,-0.471092918,0.223614668
South Sudan,0.237263386,-0.267310686,0.741837458,0.085658667,-0.530193922,0.701511255
So Tom and Prncipe,0.028787091,-0.292197647,0.34977183,0.009794987,-0.689818747,0.709408721
Eswatini,-0.04990849,-0.468198075,0.368381096,0.57154476,-0.373065457,1.516154976
Timor-Leste,-0.131395095,-0.514612993,0.251822802,-0.129023475,-0.707983509,0.44993656
Tuvalu,-0.086917256,-0.584935821,0.411101309,-0.111432871,-1.011203907,0.788338165
Vanuatu,0.086974184,-0.338484146,0.512432514,0.305726813,-0.387467867,0.998921493
Saint Vincent and the Grenadines,0.019252249,-0.203208849,0.241713346,0.215034319,-0.233945404,0.664014042
Yemen,0.015882149,-0.305114428,0.336878726,0.265479454,-0.407737971,0.93869688
